"Jag är full","I am full"
"Jag tar en promenad","I go for a walk."
"inte än","not yet"
"spela (spelar, spelade, spelat)","play"
"Vi spelar kort varje fredag.","We play cards every Friday."
"i helgen","this weekend"
"ute","outside"
"Det är kallt ute.","It is cold outside."
"inne","inside"
"Barnen leker inne idag.","The children are playing inside today."
"fira (firar, firade, firat)","celebrate"
"Vi firar midsommar i juni.","We celebrate Midsummer in June."
"Jag firar X","I celebrate X"
"kung (kungen, kungar, kungarna)","king"
"Kungen höll ett tal.","The king gave a speech."
"vem?","who?"
"efter","after"
"Efter maten tar vi kaffe.","After the meal we have coffee."
"och","and"
"eller","or"
"alltid","always"
"Hon kommer alltid i tid.","She always arrives on time."
"bra","good"
"Filmen var riktigt bra.","The film was really good."
"Jag älskar X","I love X"
"gilla (gillar, gillade, gillat)","like"
"Jag gillar att läsa böcker.","I like reading books."
"bastu (bastun, bastur, basturna)","sauna"
"Vi har en bastu i källaren.","We have a sauna in the basement."
"Jag badar bastu","I have a sauna"
"isbad (isbadet, isbad, isbaden)","ice bath"
"Ett isbad är mycket kallt.","An ice bath is very cold."
"hur många?","how many?"
"Bra jobbat!","Well done!"
"träffa (träffar, träffade, träffat)","meet / hit"
"Vi ska träffa vänner i kväll.","We will meet friends tonight."
"självklart","of course"
"Självklart hjälper jag dig.","Of course I'll help you."
"då","then"
"Först äter vi, då ser vi filmen.","First we eat, then we watch the film."
"ta (tar, tog, tagit)","take"
"Ta bussen till stan.","Take the bus to town."
"jämföra (jämför, jämförde, jämfört)","compare"
"Vi jämför priserna före köp.","We compare the prices before buying."
"Jag studerar inte nu.","I'm not studying now."
"Nu studerar jag inte.","I'm not studying now."
"varandra","each other"
"De känner varandra väl.","They know each other well."
"förskollärare (förskolläraren, –, förskollärarna)","preschool teacher"  
"Min syster arbetar som förskollärare.","My sister works as a preschool teacher."  
"bank (banken, banker, bankerna)","bank"  
"Pengarna finns på banken.","The money is in the bank."  
"restaurang (restaurangen, restauranger, restaurangerna)","restaurant"  
"Vi åt middag på en italiensk restaurang.","We had dinner at an Italian restaurant."  
"ekonom (ekonomen, ekonomer, ekonomerna)","accountant"  
"Han är ekonom på ett stort företag.","He is an accountant at a large company."  
"på","at"  
"Hon studerar på universitetet.","She studies at the university."  
"universitet (universitetet, –, universiteten)","university"  
"Lund är ett gammalt universitet.","Lund is an old university."  
"medicin (medicinen, mediciner, medicinerna)","medicine"  
"Hon läser medicin i Göteborg.","She studies medicine in Gothenburg."  
"kryssa för (kryssar för, kryssade för, kryssat för)","tick; cross"  
"Kryssa för rätt alternativ!","Tick the correct option!"  
"rätt alternativ","correct answer / correct option"  
"Markera det rätta alternativet.","Mark the correct answer."  
"gift (gift, gifta)","married"  
"De har varit gifta i tio år.","They have been married for ten years."  
"sambo (sambon, sambor, samborna)","live-in partner"  
"Jag bor med min sambo i Malmö.","I live with my partner in Malmö."  
"eller","or"  
"Vill du ha te eller kaffe?","Do you want tea or coffee?"  
"singel","single"  
"Han är singel och bor själv.","He is single and lives alone."  
"någon (något, några)","any; someone"  
"Har du några frågor?","Do you have any questions?"  
"partner (partnern, –, partnerna)","partner"  
"Hon och hennes partner reser mycket.","She and her partner travel a lot."  
"Portugal","Portugal"  
"Vi åkte på semester till Portugal.","We went on holiday to Portugal."  
"jätteduktig (jätteduktigt, jätteduktiga)","very good; very skilled"  
"Hon är jätteduktig på svenska.","She is very good at Swedish."  
"barn (barnet, –, barnen)","child"  
"De har ett barn som heter Eva.","They have a child named Eva."  
"son (sonen, söner, sönerna)","son"  
"Deras son fyller fem i dag.","Their son turns five today."  
"dotter (dottern, döttrar, döttrarna)","daughter"  
"Min dotter går i skolan.","My daughter goes to school."  
"särbo (särbon, särbor, särborna)","partner living separately"  
"De är särbor men träffas ofta.","They are a couple who live apart but meet often."
"pojkvän (pojkvännen, pojkvänner, pojkvännerna)","boyfriend"  
"Hon presenterade sin pojkvän för oss.","She introduced her boyfriend to us."  
"bo (bor, bodde, bott)","live"  
"Jag bor i en liten stad.","I live in a small town."  
"bo ihop","live together"  
