"hälsa (hälsar, hälsade, hälsat)<br>Hon hälsar alltid på sina kollegor.","greet<br>She always greets her colleagues."
"annan (annat, andra)<br>Kan jag få en annan kopp kaffe?","another<br>Can I have another cup of coffee?"
"retur (returen, returer, returerna)<br>Returen kom fram i tid.","return<br>The return arrived on time."
"pepp (peppet, pepp, peppen)<br>Vi behöver lite pepp innan loppet.","pep<br>We need some pep before the race."
"Ta hand om dig!","Take care!"
"längta efter (längtar, längtade, längtat)<br>Jag längtar efter sommaren.","long for / yearn for<br>I long for the summer."
"i sommar<br>Vi ska resa till Spanien i sommar.","this summer<br>We will travel to Spain this summer."
"intresserad av (intresserat, intresserade)<br>Hon är intresserad av arkitektur.","interested in<br>She is interested in architecture."
"deckare (deckaren, deckare, deckarna)<br>Jag läser en spännande deckare.","crime novel<br>I’m reading an exciting crime novel."
"jazz (jazzen)<br>Han lyssnar gärna på jazz.","jazz<br>He likes listening to jazz."
"it-ingenjör (it-ingenjören, it-ingenjörer, it-ingenjörerna)<br>Min bror arbetar som it-ingenjör.","IT engineer<br>My brother works as an IT engineer."
"Syrien<br>Damaskus är huvudstaden i Syrien.","Syria<br>Damascus is the capital of Syria."
"kvällskurs (kvällskursen, kvällskurser, kvällskurserna)<br>Hon går en kvällskurs i spanska.","evening course<br>She attends an evening course in Spanish."
"arkitektur (arkitekturen, arkitekturer, arkitekturerna)<br>Staden är känd för sin moderna arkitektur.","architecture<br>The city is known for its modern architecture."
"trivas (trivs, trivdes, trivts)<br>Barnen trivs bra i den nya skolan.","thrive / be happy<br>The children thrive in the new school."
"mormor (mormodern, mormödrar, mormödrarna)<br>Min mormor bakar världens godaste bullar.","maternal grandmother<br>My (maternal) grandmother bakes the world’s best buns."
"morfar (morfadern, morfäder, morfäderna)<br>Morfar berättade en historia för oss.","maternal grandfather<br>Grandfather told us a story."
"låna (lånar, lånade, lånat)<br>Jag behöver låna en penna.","borrow<br>I need to borrow a pen."
"låna ut (lånar, lånade, lånat)<br>Kan du låna ut din bok till mig?","lend<br>Can you lend your book to me?"
"hund (hunden, hundar, hundarna)<br>Min hund älskar att springa i parken.","dog<br>My dog loves to run in the park."
"simma (simmar, simmade, simmat)<br>Vi ska simma i havet i sommar.","swim<br>We will swim in the sea this summer."
"Vad tråkigt att höra!","I'm sorry to hear that!"
"att handla mat<br>Jag måste handla mat till middagen.","to buy food<br>I have to buy food for dinner."
"kontor (kontoret, kontor, kontoren)<br>Kontoret stänger klockan fem.","office<br>The office closes at five."
"inte än<br>Har du ätit? Inte än.","not yet<br>Have you eaten? Not yet."
"viktig (viktigt, viktiga)<br>Det är viktigt att sova bra.","important<br>It is important to sleep well."
"vandra (vandrar, vandrade, vandrat)<br>De gillar att vandra i skogen.","hike / wander<br>They like to hike in the forest."
"mys (myset)<br>Kvällen fylldes med mys och film.","coziness<br>The evening was filled with coziness and movies."
"mysig (mysigt, mysiga)<br>Stugan var liten men mysig.","cozy<br>The cabin was small but cozy."
"mysa (myser, myste, myst)<br>Vi ska mysa under filten.","cuddle<br>We will cuddle under the blanket."
#"längta efter X (längtar, längtade, längtat)<br>Jag längtar efter sommarlovet.","long for X<br>I long for the summer break."
"Jag längtar efter sommarlovet.","I long for the summer break."
"Han trivs i Sverige","He likes it in Sweden."
"åka (åker, åkte, åkt)<br>Vi tänker åka till Norge i helgen.","go (by vehicle)<br>We plan to go to Norway this weekend."
"Jag åker till Stockholm imorgon","I go to Stockholm tomorrow."
"gå (går, gick, gått)<br>Jag brukar gå till jobbet.","walk / go<br>I usually walk to work."
"Jag går till Stockholm imorgon","I walk to Stockholm tomorrow."
"imorgon bitti<br>Vi träffas imorgon bitti.","tomorrow morning<br>We meet tomorrow morning."
"imorse<br>Jag drack kaffe imorse.","this morning<br>I drank coffee this morning."
"igår morse<br>Jag tog bussen igår morse.","yesterday morning<br>I took the bus yesterday morning."
"Allting är relativt","Everything is relative"
"tillsammans<br>Vi gick tillsammans till konserten.","together<br>We went to the concert together."
"sport (sporten, sporter, sporterna)<br>Fotboll är en populär sport i Sverige.","sport<br>Football is a popular sport in Sweden."
"träna (tränar, tränade, tränat)<br>Jag brukar träna varje morgon.","exercise<br>I usually exercise every morning."
"karate (karaten, karater, karaterna)<br>Han tränar karate två gånger i veckan.","karate<br>He practices karate twice a week."
"sportig (sportigt, sportiga)<br>Hon har en sportig stil.","athletic<br>She has an athletic style."
"åka snowboard (åker, åkte, åkt)<br>Vi planerar att åka snowboard i Alperna.","go snowboarding<br>We are planning to go snowboarding in the Alps."
"på vintern<br>På vintern åker vi skridskor på sjön.","in the winter<br>In the winter we skate on the lake."
"spela volleyboll (spelar, spelade, spelat)<br>De älskar att spela volleyboll på stranden.","play volleyball<br>They love to play volleyball on the beach."
"sol (solen, solar, solarna)<br>Solen skiner idag.","sun<br>The sun is shining today."
"värme (värmen, värmar, värmarna)<br>Jag njuter av värmen på sommaren.","warmth<br>I enjoy the warmth in summer."
"mat (maten, matar, matarna)<br>God mat gör mig glad.","food<br>Good food makes me happy."
"huvudsats (huvudsatsen, huvudsatser, huvudsatserna)<br>En huvudsats kan stå själv.","main clause<br>A main clause can stand alone."
"konjunktion (konjunktionen, konjunktioner, konjunktionerna)<br>""Och"" är en vanlig konjunktion.","conjunction<br>“And” is a common conjunction."
"så<br>Det var så gott!","so<br>It was so good!"
"stryka under (stryker, strök, strukit)<br>Läraren bad oss stryka under viktiga ord.","underline<br>The teacher asked us to underline important words."

