"favoritmat (favoritmaten, –, –)<br><i>Min favoritmat är pasta.</i>","favorite food<br><i>My favorite food is pasta.</i>"
"maträtt (maträtten, maträtter, maträtterna)<br><i>Vilken maträtt lagar du helst?</i>","dish<br><i>Which dish do you prefer to cook?</i>"
"jordgubbskräm (jordgubbskrämen, jordgubbskrämer, jordgubbskrämerna)<br><i>Barnen älskar jordgubbskräm till dessert.</i>","strawberry purée<br><i>The children love strawberry purée for dessert.</i>"
"kåldolme (kåldolmen, kåldolmar, kåldolmarna)<br><i>Kåldolmar serveras ofta med potatis.</i>","cabbage roll<br><i>Cabbage rolls are often served with potatoes.</i>"
"pyttipanna (pyttipannan, –, –)<br><i>Vi åt pyttipanna med rödbetor.</i>","Swedish hash<br><i>We ate Swedish hash with beets.</i>"
"stekt ägg","fried egg"
"rödbeta (rödbetan, rödbetor, rödbetorna)<br><i>Rödbetor är goda i sallad.</i>","beetroot<br><i>Beetroots are tasty in salad.</i>"
"raggmunk (raggmunken, raggmunkar, raggmunkarna)<br><i>Raggmunk serveras gärna med lingon.</i>","potato pancake<br><i>Potato pancakes are often served with lingonberries.</i>"
"fläsk (fläsket, –, –)<br><i>Han stekte fläsk i gjutjärnspanna.</i>","pork<br><i>He fried pork in a cast-iron pan.</i>"
"ripa (ripan, ripor, riporna)<br><i>Ripa är populärt viltkött i norr.</i>","grouse<br><i>Grouse is popular game meat in the north.</i>"
"gräddsås (gräddsåsen, gräddsåser, gräddsåserna)<br><i>Köttbullar med gräddsås är en klassiker.</i>","gravy<br><i>Meatballs with gravy is a classic.</i>"
"rönnbärsgelé (rönnbärsgelén, rönnbärsgeléer, rönnbärsgeléerna)<br><i>De gjorde rönnbärsgelé hemma.</i>","rowanberry jelly<br><i>They made rowanberry jelly at home.</i>"
"spagetti (spagettin, –, –)<br><i>Spagetti och tomatsås går snabbt att laga.</i>","spaghetti<br><i>Spaghetti with tomato sauce is quick to make.</i>"
"varmkorv (varmkorven, varmkorvar, varmkorvarna)<br><i>Vi köpte varmkorv i kiosken.</i>","hot dog<br><i>We bought hot dogs at the kiosk.</i>"
"älgstek (älgsteken, älgstekar, älgstekarna)<br><i>Älgstek blir extra god i ugn.</i>","moose steak<br><i>Moose steak is especially good in the oven.</i>"
"klyftpotatis (klyftpotatisen, –, –)<br><i>Vi gjorde klyftpotatis till middagen.</i>","potato wedges<br><i>We made potato wedges for dinner.</i>"
"svartvinbärsgelé (svartvinbärsgelén, svartvinbärsgeléer, svartvinbärsgeléerna)<br><i>Svartvinbärsgelé passar bra till vilt.</i>","blackcurrant jelly<br><i>Blackcurrant jelly goes well with game.</i>"
"förtjust i","fond of; keen on"
"biff med lök","steak with onions"
"ris (riset, –, –)<br><i>Vi kokade ris till curryn.</i>","rice<br><i>We cooked rice for the curry.</i>"
"småkaka (småkakan, småkakor, småkakorna)<br><i>Hon bakade småkakor till fikat.</i>","small cookie; biscuit<br><i>She baked small cookies for fika.</i>"
"husmanskost (husmanskosten, –, –)<br><i>Han föredrar svensk husmanskost.</i>","traditional Swedish home cooking<br><i>He prefers traditional Swedish home cooking.</i>"
"traditionell (traditionellt, traditionella)<br><i>Vi hade en traditionell julmiddag.</i>","traditional<br><i>We had a traditional Christmas dinner.</i>"
"titta efter (tittar, tittade, tittat)<br><i>Kan du titta efter mjölken i kylen?</i>","look for<br><i>Can you look for the milk in the fridge?</i>"
"rättvisemärkt (rättvisemärkt, rättvisemärkta)<br><i>Vi köper helst rättvisemärkt kaffe.</i>","fair trade<br><i>We prefer to buy fair-trade coffee.</i>"
"bondgård (bondgården, bondgårdar, bondgårdarna)<br><i>De bor på en liten bondgård.</i>","farm<br><i>They live on a small farm.</i>"
"närproducerad (närproducerat, närproducerade)<br><i>Vi väljer närproducerade grönsaker.</i>","locally produced<br><i>We choose locally produced vegetables.</i>"
"blad (bladet, blad, bladen)<br><i>Ett gult blad föll från trädet.</i>","leaf<br><i>A yellow leaf fell from the tree.</i>"
"urdålig (urdåligt, urdåliga)<br><i>Filmen var urdålig.</i>","really bad; terrible<br><i>The movie was really bad.</i>"
"matlagning (matlagningen, –, –)<br><i>Hon gillar enkel matlagning på vardagar.</i>","cooking<br><i>She likes simple cooking on weekdays.</i>"
"hämtmat (hämtmaten, –, –)<br><i>Vi beställde hämtmat i går.</i>","takeout food<br><i>We ordered takeout yesterday.</i>"
"thai (thaimat)<br><i>Vi lagade thai hemma i lördags.</i>","Thai (food)<br><i>We cooked Thai food at home on Saturday.</i>"
"sushi (sushin, –, –)<br><i>Vi köpte sushi till lunch.</i>","sushi<br><i>We bought sushi for lunch.</i>"
"falafel (falafeln, falaflar, falaflarna)<br><i>Hon åt falafel i pitabröd.</i>","falafel<br><i>She ate falafel in pita bread.</i>"
"klimatsmart<br><i>De försöker laga klimatsmart mat.</i>","environmentally friendly<br><i>They try to cook in an environmentally friendly way.</i>"
"sparris (sparrisen, sparrisar, sparrisarna)<br><i>Sparris är god med hollandaise.</i>","asparagus<br><i>Asparagus is tasty with hollandaise.</i>"
"tofu (tofun, –, –)<br><i>Vi stekte tofu med grönsaker.</i>","tofu<br><i>We fried tofu with vegetables.</i>"
"korv (korven, korvar, korvarna)<br><i>Barnen ville ha korv med bröd.</i>","sausage; hot dog<br><i>The kids wanted hot dogs.</i>"
"mjölkprodukt (mjölkprodukten, mjölkprodukter, mjölkprodukterna)<br><i>Yoghurt är en mjölkprodukt.</i>","dairy product<br><i>Yogurt is a dairy product.</i>"
"laktosintolerant<br><i>Hon är laktosintolerant och undviker mjölk.</i>","lactose intolerant<br><i>She is lactose intolerant and avoids milk.</i>"
"vete (vetet, –, –)<br><i>Många bröd bakas på vete.</i>","wheat<br><i>Many breads are baked with wheat.</i>"
"glutenallergi (glutenallergin, glutenallergier, glutenallergierna)<br><i>Glutenallergi kräver strikt diet.</i>","gluten allergy<br><i>Gluten allergy requires a strict diet.</i>"
