#html:true
#separator:tab
#guid column:1
#tags column:2
adj_aecklig	adj	<span class="en">äcklig</span> / <span class="ett">äckligt</span> .: äckliga	disgusting
adj_aerlig	adj	<span class="en">ärlig</span> / <span class="ett">ärligt</span> .: ärliga	honest
adj_aeventyrlig	adj	<span class="en">äventyrlig</span> / <span class="ett">äventyrligt</span> .: äventyrliga	adventurous
adj_allergisk	adj	allergisk	allergic
adj_annan	adj	<span class="en">annan</span> / <span class="ett">annat</span> .: andra	another
adj_arbetsloes	adj	<span class="en">arbetslös</span> / <span class="ett">arbetslöst</span> .: arbetslösa	unemployed
adj_avlaang	adj	<span class="en">avlång</span> / <span class="ett">avlångt</span> .: avlånga	elongated, oblong
adj_avstaengd	adj	<span class="en">avstängd</span> / <span class="ett">avstängt</span> .: avstängda	off (switched off)
adj_bakre	adj	bakre	back (adj)
adj_barnfri	adj	<span class="en">barnfri</span> / <span class="ett">barnfritt</span> .: barnfria	without children
adj_begagnad	adj	<span class="en">begagnad</span> / <span class="ett">begagnat</span> .: begagnade	used / second-hand
adj_besatt	adj	<span class="en">besatt</span> / <span class="ett">besatt</span> .: besatta	obsessed
adj_betonad	adj	<span class="en">betonad</span> / <span class="ett">betonat</span> .: betonade	emphasized
adj_billig	adj	<span class="en">billig</span> / <span class="ett">billigt</span> .: billiga	cheap
adj_blaa	adj	<span class="en">blå</span> / <span class="ett">blått</span> .: blåa	blue
adj_blommig	adj	<span class="en">blommig</span> / <span class="ett">blommigt</span> .: blommiga	floral
adj_bortre	adj	bortre	far (adj)
adj_bostadsloes	adj	<span class="en">bostadslös</span> / <span class="ett">bostadslöst</span> .: bostadslösa	without housing; homeless
adj_bra	adj	bra	good (adj)
adj_bred	adj	<span class="en">bred</span> / <span class="ett">brett</span> .: breda	wide
adj_brun	adj	<span class="en">brun</span> / <span class="ett">brunt</span> .: bruna	brown
adj_central	adj	<span class="en">central</span> / <span class="ett">centralt</span> .: centrala	central
adj_cool	adj	<span class="en">cool</span> / <span class="ett">coolt</span> .: coola	cool
adj_daalig	adj	<span class="en">dålig</span> / <span class="ett">dåligt</span> .: dåliga	bad (adj)
adj_digital	adj	<span class="en">digital</span> / <span class="ett">digitalt</span> .: digitala	digital
adj_duktig	adj	<span class="en">duktig</span> / <span class="ett">duktigt</span> .: duktiga	good; capable
adj_dyr	adj	<span class="en">dyr</span> / <span class="ett">dyrt</span> .: dyra	expensive
adj_egen	adj	<span class="en">egen</span> / <span class="ett">eget</span> .: egna	own
adj_ekologisk	adj	<span class="en">ekologisk</span> / <span class="ett">ekologiskt</span> .: ekologiska	organic
adj_ekonomisk	adj	<span class="en">ekonomisk</span> / <span class="ett">ekonomiskt</span> .: ekonomiska	economic
adj_enkel	adj	<span class="en">enkel</span> / <span class="ett">enkelt</span> .: enkla	simple
adj_ensam	adj	<span class="en">ensam</span> / <span class="ett">ensamt</span> .: ensamma	lonely; alone
adj_envis	adj	<span class="en">envis</span> / <span class="ett">envist</span> .: envisa	stubborn
adj_faersk	adj	<span class="en">färsk</span> / <span class="ett">färskt</span> .: färska	fresh
adj_falsk	adj	<span class="en">falsk</span> / <span class="ett">falskt</span> .: falska	fake (adj)
adj_fantastisk	adj	<span class="en">fantastisk</span> / <span class="ett">fantastiskt</span> .: fantastiska	fantastic
adj_farlig	adj	<span class="en">farlig</span> / <span class="ett">farligt</span> .: farliga	dangerous
adj_fattig	adj	<span class="en">fattig</span> / <span class="ett">fattigt</span> .: fattiga	poor
adj_fel	adj	fel	wrong (incorrect)
adj_fet	adj	<span class="en">fet</span> / <span class="ett">fett</span> .: feta	cool (slang)
adj_fin	adj	<span class="en">fin</span> / <span class="ett">fint</span> .: fina	nice / pretty
adj_foeraeldraledig	adj	<span class="en">föräldraledig</span> / <span class="ett">föräldraledigt</span> .: föräldralediga	on parental leave
adj_foerkyld	adj	<span class="en">förkyld</span> / <span class="ett">förkylt</span> .: förkylda	sick with a cold
adj_foerra	adj	förra	previous (adj)
adj_foersenad	adj	<span class="en">försenad</span> / <span class="ett">försenat</span> .: försenade	delayed
adj_foersta	adj	första	first (adj)
adj_fraanskild	adj	<span class="en">frånskild</span> / <span class="ett">frånskilt</span> .: frånskilda	divorced
adj_fraemre	adj	främre	front (adj)
adj_frisk	adj	<span class="en">frisk</span> / <span class="ett">friskt</span> .: friska	healthy / fresh
adj_fryst	adj	<span class="en">fryst</span> / <span class="ett">fryst</span> .: frysta	frozen
adj_ful	adj	<span class="en">ful</span> / <span class="ett">fult</span> .: fula	ugly
adj_fysisk	adj	<span class="en">fysisk</span> / <span class="ett">fysiskt</span> .: fysiska	physical
adj_galen	adj	<span class="en">galen</span> / <span class="ett">galet</span> .: galna	crazy
adj_gammal	adj	<span class="en">gammal</span> / <span class="ett">gammalt</span> .: gamla	old
adj_generell	adj	<span class="en">generell</span> / <span class="ett">generellt</span> .: generella	general
adj_gift	adj	<span class="en">gift</span> / <span class="ett">gift</span> .: gifta	married
adj_glad	adj	<span class="en">glad</span> / <span class="ett">glatt</span> .: glada	happy
