"hemma","at home (pos)"
"hem","to home (dir)"
"hemifrån","from home (dir)"
"hemåt","homeward"

"här","here (pos)"
"hit","to here (dir)"
"härifrån","from here (dir)"
"hitåt","toward here (dir)"

"där","there (pos)"
"dit","to there (dir)"
"därifrån","from there (dir)"
"ditåt","toward there (dir)"

"inne","inside (pos)"
"in","in (dir)"
"inifrån","from inside (dir)"
"inåt","inward (dir)"
"inre","inner (adj)"
"på insidan","on the inside"

"ute","outside (pos)"
"ut","out (dir)"
"utifrån","from outside (dir)"
"utåt","outward (dir)"
"yttre","outer (adj)"
"på utsidan","on the outside"

"uppe","up above (pos)"
"upp","up (dir)"
"uppifrån","from above (dir)"
"uppåt","upward (dir)"
"övre","upper (adj)"

"nere","down below (pos)"
"ner","down (dir)"
"nerifrån","from below (dir)"
"neråt","downward (dir)"
"nedre","lower (adj)"

"borta","away (pos)"
"bort","away (dir)"
"bortifrån","from away (dir)"
"bortåt","toward away (dir)"
"bortre","far (adj)"

"framme","front (pos)"
"fram","to the front (dir)"
"framifrån","from the front (dir)"
"framåt","frontward (dir)"
"främre","front (adj)"
"på framsidan","on the front"

"bakom","back (pos)"
"bak","to the back (dir)"
"bakifrån","from the back (dir)"
"bakåt","backward (dir)"
"bakre","back (adj)"
"på baksidan","on the back"

"vänster","left (dir)"
"vänstra","left (adj)"
"på vänster sida","on the left side"

"höger","right (dir)"
"högra","right (adj)"
"på höger sida","on the right side"

"norr","north"
"i norr","up north (pos)"
"mot norr","north (dir)"
"norrifrån","from the north (dir)"
"norrut","northward (dir)"
"norra (adj)","northern (part)"
"nordlig (nordligt, nordliga)","northerly"
"på norra sidan","on the north side"

"söder","south"
"i söder","up south (pos)"
"mot söder","south (dir)"
"söderifrån","from the south (dir)"
"söderut","southward (dir)"
"södra (adj)","southern (part)"
"sydlig (sydligt, sydliga)","southerly"
"på södra sidan","on the south side"

"öster","east"
"i öster","out east (pos)"
"mot öster","east (dir)"
"österifrån","from the east (dir)"
"österut","eastward (dir)"
"östra (adj)","eastern (part)"
"östlig (östligt, östliga)","easterly"
"på östra sidan","on the east side"

"väster","west"
"i väster","out west (pos)"
"mot väster","west (dir)"
"västerifrån","from the west (dir)"
"västerut","westward (dir)"
"västra (adj)","western (part)"
"västlig (västligt, västliga)","westerly"
"på västra sidan","on the west side"
