"främling (främlingen, främlingar, främlingarna)","stranger"
"begravning (begravningen, begravningar, begravningarna)","funeral"
"forskning (forskningen)","research"
"fungera (fungerar, fungerade, fungerat)","work (function)"
"jobba på (jobbar, jobbade, jobbat)","work on (something)"
"skulle","would / was going to"
"där (prep)","there (prep)"
"där (conj","where (conj)"
"så länge","meanwhile / in the meantime"
"måla (målar, målade, har målat)","to paint"
"yrke (yrket, yrken, yrkena)","profession"
"intresse (intresset, intressen, intressena)","interest"
"intressant (intressant, intressanta)","interesting"
"förbättra (förbättrar, förbättrade, förbättrat)","to improve"
"golve (golvet)","floor"
"bråka","quarrel / struggle"
"gunga (gungar, gungade, gungat)","to swing"
"tuff (tufft, tuffa)","tough"
"föredra (föredrar, föredrade, föredrat)","to prefer"
"att sitta (sitter, satt, suttit)","to sit"
"att se (ser, såg, sett)","to see"
"att sätta (sätter, satte, satt)","to put"
"innan X","before X (in a sequence)"
"förut","previously (in the past)"
